route_id,direction_id,time_slot,sched_headway_min,sd_headway_min,n_departures,route_short_name,transport_type,n_vehicles,total_capacity,n_ctrl_points,peak
2_15,1,ранковий пік,9.526315789473685,3.289181273553101,19,18,тролейбус,56,8801,5,TRUE
2_16,0,вечір/ніч,17.1875,7.790753065868109,16,19,тролейбус,21,2205,4,FALSE
2_16,0,вечірній пік,29.666666666666668,8.891943919451284,6,19,тролейбус,21,2205,4,TRUE
2_16,0,день,24.38888888888889,5.225940825950851,18,19,тролейбус,21,2205,4,FALSE
2_16,0,ранковий пік,23.714285714285715,5.794085654478071,7,19,тролейбус,21,2205,4,TRUE
2_16,1,вечір/ніч,21.875,4.54933276112317,8,19,тролейбус,21,2205,4,FALSE
2_16,1,вечірній пік,28.714285714285715,8.807464366741916,7,19,тролейбус,21,2205,4,TRUE
2_16,1,день,24.11764705882353,5.158516658657512,17,19,тролейбус,21,2205,4,FALSE
2_16,1,ранковий пік,24.857142857142858,5.145501965424799,7,19,тролейбус,21,2205,4,TRUE
2_21,0,вечір/ніч,21.142857142857142,8.760550938568462,14,23,тролейбус,12,1215,3,FALSE
2_21,0,вечірній пік,25,4.509249752822894,7,23,тролейбус,12,1215,3,TRUE
2_21,0,день,22.944444444444443,7.996118339340159,18,23,тролейбус,12,1215,3,FALSE
2_21,0,ранковий пік,23,5.32290647422377,7,23,тролейбус,12,1215,3,TRUE
2_21,1,вечір/ніч,23.625,7.614600636746674,8,23,тролейбус,12,1215,3,FALSE
2_21,1,вечірній пік,27.333333333333332,4.844240566555986,6,23,тролейбус,12,1215,3,TRUE
2_21,1,день,25.058823529411764,4.234834533888162,17,23,тролейбус,12,1215,3,FALSE
2_21,1,ранковий пік,25.142857142857142,6.229729031789731,7,23,тролейбус,12,1215,3,TRUE
2_23,0,вечір/ніч,15.777777777777779,7.8257159458646,18,24,тролейбус,29,5172,4,FALSE
2_23,0,вечірній пік,14.076923076923077,4.112208215819867,13,24,тролейбус,29,5172,4,TRUE
